title,year,rating,review_count,stars
The Devil Wears Desire,2024,7.7,(55),"K. Tappan, Hannah Lowery, Neven Tomic"
The Devil Wears Desire,2024,7.7,(55),"K. Tappan, Hannah Lowery, Neven Tomic"
Lady Boss Takes on Vegas Bullies!,2024,7.6,(27),"Alicia Underwood, Skyla Lynne, Ellen Molina"
Resisting Mr. Lloyd: An Age Gap Romance,2024,7.8,(145),"Richard Sharrah, Finley Riter, Sarah Moliski"
The Call Boy I Met in Paris,2024,6.6,(574),"Connor Tuohy, Alyona, Amanda Glass"
The Virgin and the Billionaire,2024,6.7,(146),"Rebecca Stoughton, Aaron Russell, Lauren Bonham"
The Secret of my Billion-Dollar Marriage,2024,8.3,(78),"Kelsey Maskell, Alistair David Herz, Kasey Esser"
Mr. Hill's Adorable Wife,2024,7.1,(148),"Meg Bush, Jesse Morales, Sheila Ball"
Infatuated with the CEO,2024,7.9,(106),"Michael Cline, Haley Lohrli, Marc Herrmann"
His One and Only Love,2024,7.7,(123),"Autumn Noel, Jesse Morales, Circus-Szalewski"
Breaking the Ice,2024,7.0,(755),"James C. Burns, Nicole Mattox, Seth Edeen"
VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,2024–,5.7,(242),"Nana Nanato, Ayane Sakura, Hayden Daviau, Sarah Wiedenheft"
After Cancer I Turn Into a Badass,2024,8.8,(44),"Violet Bennett, Bradley Meccariello, Ruby Griffin"
Break My Heart Again,2024,8.3,(101),"Autumn Noel, Sam Myerson, Hannah Lowery"
"Baby, You Had It Coming",2024,6.7,(36),"Mia Wilson, Mike Jeffrey, Victoria Joliddie"
"Dear Husband, Delete My Number",2024,7.7,(201),"Sarah Noelle, Marc Herrmann, Sarah Moliski"
We Are Never Ever Getting Back Together,2024,8.7,(282),"Molly Anderson, Jarred Harper, Tali Chart"
The Return of My Drama Queen,2024,8.7,(85),"Kåius Härrisøn, Monroe Cline, Jake Hobbs"
Love Ages Like Fine Wine,2024,7.6,(47),"Lawson Greyson, Ian S. Peterson, Andrew Cawley"
Oh No! I Slept with My Husband!,2024,7.8,(105),"Brittany Marsicek, Ali Badalov, Kathryn Hollis Peters"
Accidental Surrogate for Alpha,2024,7.7,(286),"Anna DeRusso, Luke Charles Stafford, Jesús Lloveras"
The Virgin and the Billionaire,2024,6.7,(146),"Rebecca Stoughton, Aaron Russell, Lauren Bonham"
I Accidentally Hired a Billionaire Husband,2024,7.5,(100),"Macy Faith Boren, Kasey Esser, R. Stoughton"
I Accidentally Married a Billionaire,2024,8.1,(23),"Paul Matte, Cynthia Menard, Piyal Sarker"
Playing by the Billionaire's Rules,2024,7.8,(68),"Meg Bush, Hannah Record, Adam Wesley"
The Divorced Billionaire Heiress,2024,4.8,(1.1K),"Lawrence Shagawat, John Morgan, Mariah Moss"
The Divorced Billionaire Heiress,2024,4.8,(1.1K),"Lawrence Shagawat, John Morgan, Mariah Moss"
The Billionaire's Baby Bargain,2024,8.0,(187),"Magdalene Cherry, Daniela Couso, Richard Sharrah"
My Mate Is a Vampire,2023,7.3,(28),"Ross Turner, Travis Long, Tatiana Turan"
Fated to the Alpha,2024,7.4,(400),"Maria Barseghian, Noah Fearnley, Rebecca Stoughton"
Fated to My Forbidden Vampire,2024,8.2,(92),"Brooke Moltrum, Nick Ritacco, Mia Grich"
True Luna,2023,6.9,(201),"Grace Woods Swanson, Nicholas René Rodriguez, Ben Alencar"
Fatal Attraction,2023,6.4,(5.8K),"Alexandra Cunningham, Kevin J. Hynes, Joshua Jackson, Lizzy Caplan, Amanda Peet"
Fatal Attraction: The Hybrid Princess,2023,7.8,(84),"Maria Barseghian, Adam Santa Cruz, Jake Golden"
The Alpha's Daughter,2023,7.3,(86),"Douglas Jung, Courtney Carl, Abigail Blythe"
My Enemy Alpha,2023,8.5,(24),"Katherine Marsh, Kourtney George, Marcus Brodie"
Fated to my Forbidden Alpha,2023–,6.5,(339),"Autumn Noel, Kasey Esser, John William DiCaro"
Kiss Me One Last Time,2024,6.2,(131),"Hannah Record, Richard Trotter, John Palmer"
The Return of My Mafia Husband,2024,7.4,(36),"Sarah Louise Kane, Lennie Ross, Violet Bennett"
Her Desired Alphas,2024,6.4,(30),"TJ Wilk, Robin Åkerstrand, Kristen DiMercurio"
Prescription for Love,2019,6.3,(1.7K),"Brian Brough, Jillian Murray, Trevor Donovan, Jillian Joy"
Where Is She?,2020,7.7,(24),"Lemarze Smith, Catalina Ariel, Brandon E. Brooks, Kubwa M. Brown"
Exes & Owen,2020,,,"Gabriel Younes, Lily Lei, Reggie Luck, Charlie Mosey"
"Darling, Please Come Home",2024,7.4,(46),"Casey Schryer, Josh Welles, Alani Waters"
I Swapped Bodies with My Nemesis,2024,8.6,(76),"Skylar Fast, Tyler Johnson Ellis, Ashley BeLoat"
Fake It Till You Love Me,2024,8.2,(136),"William Gray, Sophia Delucchi, Luke Charles Stafford"
Do Not Disturb: Lady Boss in Disguise!,2024,7.4,(123),"Grace Woods Swanson, Levi Peterson, Brooke Moltrum"
Submitting to My Best Friend's Dad,2024,7.5,(92),"Marc Schöttner, Sarah Moliski, Haley Evans"
Art of Falling in Love,2019,6.0,(647),"Justin G. Dyck, Kimberly-Sue Murray, Josh Dean, Kelly Bishop"
The CEO's Tempting Secretary,2024,7.3,(149),"Noah Fearnley, Tyler Scherer, Noémi VanSlyke"
"Drop the Act, I'm the True Heiress",2024,6.9,(28),"Serena Profaci, Raffi Manjikian, Katie Harmon"
"Drop the Act, I'm the True Heiress",2024,6.9,(28),"Serena Profaci, Raffi Manjikian, Katie Harmon"
"Drop the Act, I'm the True Heiress",2024,6.9,(28),"Serena Profaci, Raffi Manjikian, Katie Harmon"
In Bed with Your Lies,2024,7.4,(45),"Brittany Marsicek, Jordan Wolf, Lukas Silva"
"Caution, Cute Baby Alert!",2024,8.5,(94),"Jake Hobbs, Skylar Fast, Lil Safonova"
Return of the Lost Heiress,2024,7.9,(75),"Alyssa Gonzalez, Eli Jane, Johnny Briseño"
Duke with Benefits,2024,7.6,(143),"Ryan Watson Henderson, Kristine Kay Larsen, Andrei Prunila"
Her Secret Crusader,2024,6.6,(21),"Ben Bladon, Christian Brunetti, Scot Cooper"
"Lights, Camera, Action!",2024,8.7,(89),"Cosette Hatch, Sam Myerson, Diane Box Worman"
My Secret Husband Is My Boss,2024,8.1,(98),"Cosette Hatch, Jake Hobbs, Kirby Ellwood"
The Heiress Strikes Back,2024,7.8,(77),"Meg Bush, Preston Fox, Zachary Holmes"
Freeze! My Wanted Lover,2024,7.3,(87),"Kasey Esser, Nick Ritacco, Christine Havens"
You've Got Male,2024,8.5,(164),"Emily Gateley, Mario Alverson, Luke Charles Stafford"
The Billionaire's Accidental Bride,2024,8.1,(10),"Lexi Collins, Sam Schweikert, Amber Overbay"
Trevor and the Virgin,2019,3.0,(239),"Jeff Jenkins, Chloe Ray, Dylan Rourke, Elizabeth Posey"
The CEO's Contract Lover,2024,7.6,(41),"JC Ann, Sam Schweikert, Shay Dinneen"
In Love with Dr. Baby Daddy!,2024,7.1,(111),"Mariah Moss, Marc Schöttner, Ellen B. Williams"
The Alpha's Daughter,2023,7.3,(86),"Douglas Jung, Courtney Carl, Abigail Blythe"
30 Days Till I Marry My Husband's Nemesis,2024–,7.9,(226),"Christi Glass, Jeanne Solange Ramin, Mark Vega"
Do Me Over,2023,7.8,(45),"Grady Eldridge, Rose Marie Guess, Eugenia Tempesta"
My Husband Killed Me and Then I Won the Megaball,2023,7.5,(45),"Alexandra Shydlovska, Ryan Watson Henderson, Anuschka van Lent"
Fatal Temptation: Between Two Alphas,2023,7.4,(68),"Daniela Couso, Freddy Piazza, Ethan Kirschbaum"
I Married as the Replacement Bride,2024,7.5,(53),"Blake Studwell, Ren Muccino, Ethan Vaughan, John D. Babcock III"
The Three Badasses Who Want Me,2024,7.3,(44),"Jessica Jacoby, Ethan Vaughan, Mike Jeffrey"
Knight in Shining Suit,2024,7.8,(64),"Alice Bahlke, Tess Riley, Vico Ortiz"
"Married for Greencard, Stayed for Love",2024,8.0,(143),"Ashley Michelle Grant, John Palmer, Avery Lynch"
