title,year,rating,review_count,stars,detail_url,storyline,genre1,genre2,genre3,release_date,country_of_origin,platform1,platform2,platform3,production_company
Playing by the Billionaire's Rules,2024,7.8,-68,"Meg Bush, Hannah Record, Adam Wesley",https://www.imdb.com/title/tt33760543/,"Becky Jacobs has a three-year contract affair with Nick Walton under specific rules, including not falling in love. Both break this rule while facing pressure from Nick's mother, who wants him to marry for business reasons.",Romance,,,"October 9, 2024 (United States)",United States,ReelShort,ReelShort,,ReelShort
The Divorced Billionaire Heiress,2024,4.8,(1.1K),"Lawrence Shagawat, John Morgan, Mariah Moss",https://www.imdb.com/title/tt32982109/,"Isabella Moore meets Carson to celebrate their third anniversary, only to find out that he wants a divorce because he is marrying his lover on the same day.",Romance,,,"July 2, 2024 (United States)",United States,Daily Motion,,,"Journey Entertainment, ShortMax"
The Billionaire's Baby Bargain,2024,8,-187,"Magdalene Cherry, Daniela Couso, Richard Sharrah",https://www.imdb.com/title/tt31946810/,"Infertile Maya is accidentally impregnated with billionaire Colin's child. When he offers money to take the baby, an unlikely connection sparks between them. Can they overcome differences for the unexpected joy ahead?",Romance,,,"March 16, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
My Mate Is a Vampire,2023,7.3,-28,"Ross Turner, Travis Long, Tatiana Turan",https://www.imdb.com/title/tt30797536/,"A werewolf cursed to never shift. A vampire with dark secrets. Kaiya and Talon are supposed to be mortal enemies, but what will the two do when the impossible happens and - they form a mate bond?.",Romance,,,"December 30, 2023 (United States)",United States,ReelShort,,,New Leaf Publishing I
Fated to the Alpha,2024,7.4,-400,"Maria Barseghian, Noah Fearnley, Rebecca Stoughton",https://www.imdb.com/title/tt32491236/,"A mistreated high school girl, rejected by her pack for lacking a wolf, joins a new one. She falls for her alpha superior, whose uncle wants her dead.",Fantasy,Horror,Romance,"May 29, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Fated to My Forbidden Vampire,2024,8.2,-92,"Brooke Moltrum, Nick Ritacco, Mia Grich",https://www.imdb.com/title/tt31512078/,"Theo's a vampire, he meets a servant, orphan Heather. They create a blood bond. T needs to drink H's blood each day to survive. But Heather's boss doesn't want her to be happy. She wants Theo for herself.",Fantasy,,,"March 9, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
True Luna,2023,6.9,-201,"Grace Woods Swanson, Nicholas René Rodriguez, Ben Alencar",https://www.imdb.com/title/tt30346074/,"When Emma Parker turns 18, she learns that Logan Carter, the alpha of her pack, is her future mate. But her happiness is short-lived when Logan rejects her for another she-wolf.",Drama,Fantasy,Horror,"December 2, 2023 (United States)",United States,ReelShort,,,New Leaf Publishing I
Fatal Attraction,2023,6.4,(5.8K),"Alexandra Cunningham, Kevin J. Hynes, Joshua Jackson, Lizzy Caplan, Amanda Peet",https://www.imdb.com/title/tt14351748/,"A deep-dive reimagining of the classic 1980s thriller, exploring timeless themes of marriage and infidelity through the lens of modern attitudes toward strong women, personality disorders and coercive control.",Drama,Thriller,,"April 30, 2023 (United States)",United States,,,,"Amblin Television, Paramount Television Studios, Paramount Television"
Fatal Attraction: The Hybrid Princess,2023,7.8,-84,"Maria Barseghian, Adam Santa Cruz, Jake Golden",https://www.imdb.com/title/tt30428618/,"Natalie left everything behind to start a new life in the woods, until Alpha Jayce's invasion led to both her parents' deaths. Upon returning, Natalie learns that everything she knew about herself has been a lie.",Drama,,,"November 25, 2023 (United States)",United States,ReelShort,,,New Leaf Publishing I
The Alpha's Daughter,2023,7.3,-86,"Douglas Jung, Courtney Carl, Abigail Blythe",https://www.imdb.com/title/tt29605719/,"Daphne Sinclair was once the daughter of an alpha, her future seemingly secured by her lineage. However, the course of her life took a turn on her 18th birthday when her father was slain, and she found herself thrust into captivity.",Adventure,Drama,Fantasy,"October 14, 2023 (United States)",United States,ReelShort,,,"New Leaf Publishing I, ReelShort"
My Enemy Alpha,2023,8.5,-24,"Katherine Marsh, Kourtney George, Marcus Brodie",https://www.imdb.com/title/tt30422901/,"When you're forced to wed the dark and dangerous Alpha Ronan - your mortal enemy - you're sure you'll kill each other before you make it to the altar. But when a common enemy threatens to destroy your pack, will you accept that you are fated to one another? Or reap deadly consequences?",Drama,,,"November 4, 2023 (United States)",United States,ReelShort,,,New Leaf Publishing I
Fated to my Forbidden Alpha,2023–,6.5,-339,"Autumn Noel, Kasey Esser, John William DiCaro",https://www.imdb.com/title/tt28777411/,As two clans of werewolves battle for supremacy a young woman is thrown in between the cross-lines.,Drama,Fantasy,Horror,"August 25, 2023 (United States)",United States,Official Website,ReelShort - Official Website,,"New Leaf Publishing I, ReelShort"
Kiss Me One Last Time,2024,6.2,-131,"Hannah Record, Richard Trotter, John Palmer",https://www.imdb.com/title/tt32830679/,"A terminally ill wife feels neglected by her husband, who sees her as a gold-digger. When he discovers the truth, he tries to make amends and reconcile before it's too late, but she struggles to forgive his past indifference.",Romance,,,"July 6, 2024 (United States)",United States,ReelShort,ReelShort,,New Leaf Publishing I
Her Desired Alphas,2024,6.4,-30,"TJ Wilk, Robin Åkerstrand, Kristen DiMercurio",https://www.imdb.com/title/tt30422951/,Add a plot in your language,Drama,,,"January 25, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Prescription for Love,2019,6.3,(1.7K),"Brian Brough, Jillian Murray, Trevor Donovan, Jillian Joy",https://www.imdb.com/title/tt8890158/,"Nurse Claire's supervisor is intent on making her miserable. On a rare night off, she gets trapped in an elevator with a charming man. The next day she is introduced to him again but he does not recognize her.",Drama,Romance,,"January 2, 2020 (United States)",United States,,,,"Candlelight Media Group, Silver Peak Productions"
Where Is She?,2020,7.7,-24,"Lemarze Smith, Catalina Ariel, Brandon E. Brooks, Kubwa M. Brown",https://www.imdb.com/title/tt11841860/,"A woman goes missing after a volatile argument with her alcoholic boyfriend. As two detectives set out to crack this case by eliminating suspects, unusual happenings present themselves along the way.",Thriller,,,"May 15, 2020 (United States)",United States,,,,MikeMarze Entertainment
Exes & Owen,2020,,,"Gabriel Younes, Lily Lei, Reggie Luck, Charlie Mosey",https://www.imdb.com/title/tt13268490/,Add a plot in your language,Short,Drama,,"October 10, 2020 (United States)",United States,Distributor,,,American Black Market
"Darling, Please Come Home",2024,7.4,-46,"Casey Schryer, Josh Welles, Alani Waters",https://www.imdb.com/title/tt33483337/,It's about a girl named Leah finding out her birth family is the least expected people ever.,Romance,,,"September 24, 2024 (United States)",United States,ReelShort,ReelShort,,ReelShort
I Swapped Bodies with My Nemesis,2024,8.6,-76,"Skylar Fast, Tyler Johnson Ellis, Ashley BeLoat",https://www.imdb.com/title/tt33256570/,"After two business billionaire rivals swap bodies, they have to learn to walk into each other's shoes, fix their problems and Janessa's their lives. And they end up falling in love with each other.",Romance,,,"August 24, 2024 (United States)",United States,ReelShort,,,ReelShort
Fake It Till You Love Me,2024,8.2,-136,"William Gray, Sophia Delucchi, Luke Charles Stafford",https://www.imdb.com/title/tt33803172/,Caroline's one-night stand with her boss Edward leads to a fake marriage to avoid scandal. But navigating his cold family and dealing with his enemy brother tests their charade as genuine feelings arise.,Comedy,,,"October 17, 2024 (United States)",United States,ReelShort,,,ReelShort
Do Not Disturb: Lady Boss in Disguise!,2024,7.4,-123,"Grace Woods Swanson, Levi Peterson, Brooke Moltrum",https://www.imdb.com/title/tt32332033/,"To become the heiress of her family hotel chain, Violet Trenton goes undercover as a cleaning lady and takes out the troublemakers one by one. Will she succeed? And is her sexy new COO Kasey Johnson just a powerful ally, or something more?",Romance,,,"May 4, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Submitting to My Best Friend's Dad,2024,7.5,-92,"Marc Schöttner, Sarah Moliski, Haley Evans",https://www.imdb.com/title/tt32460206/,"Becca's summer fling with Tally's father James takes an unexpected turn, entangling her in a whirlwind of forbidden passion. As she navigates the line between desire and deceit, will her secrets unravel everything she holds dear?",Drama,,,"May 21, 2024 (United States)",United States,DreameShort,,,EGlobal Creative Publishing
Art of Falling in Love,2019,6,-647,"Justin G. Dyck, Kimberly-Sue Murray, Josh Dean, Kelly Bishop",https://www.imdb.com/title/tt9892388/,An artist painting a mural on a new hospital wing falls for the project's architect but worries he may not want to be with her if she reveals the unfortunate story behind her secret bucket list.,Romance,,,"August 10, 2019 (United States)",Canada,,,,"Brain Power Studio, HQ 11 Art of Falling"
The CEO's Tempting Secretary,2024,7.3,-149,"Noah Fearnley, Tyler Scherer, Noémi VanSlyke",https://www.imdb.com/title/tt33034568/,"A mistress dispeller hired to expose Elric's infidelity discovers Hollis Mafia family plots. As she falls for both Elric and Cyrene's uncle Talos, Aelia becomes entangled in desire and mob schemes.",Drama,,,"July 24, 2024 (United States)",United States,ShortMax,ShortMax,,Bluesky Studio
"Drop the Act, I'm the True Heiress",2024,6.9,-28,"Serena Profaci, Raffi Manjikian, Katie Harmon",https://www.imdb.com/title/tt33333410/,Add a plot in your language,Romance,,,"September 5, 2024 (United States)",United States,ReelShort,ReelShort,,ReelShort
In Bed with Your Lies,2024,7.4,-45,"Brittany Marsicek, Jordan Wolf, Lukas Silva",https://www.imdb.com/title/tt33056157/,Add a plot in your language,Comedy,Romance,,"September 17, 2024 (United States)",United States,ReelShort,,,ReelShort
"Caution, Cute Baby Alert!",2024,8.5,-94,"Jake Hobbs, Skylar Fast, Lil Safonova",https://www.imdb.com/title/tt33037767/,A woman who had a one-night stand thought she lost her baby to SIDS. Years later a boy claims he's her mom. She falls in love with his dad and they get married. Conflict ensues with the woman's family and the man is hiding a secret.,Romance,,,"July 24, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Return of the Lost Heiress,2024,7.9,-75,"Alyssa Gonzalez, Eli Jane, Johnny Briseño",https://www.imdb.com/title/tt32982457/,"After her father's death, Lana becomes mute. She gets lost fleeing from a corrupt guard trying to sell her. Ron adopts and loves her. Years later, her birth family searches for her but mistreats her, unaware of her identity.",Drama,Family,,"July 17, 2024 (United States)",United States,ReelShort,ReelShort,,New Leaf Publishing I
Duke with Benefits,2024,7.6,-143,"Ryan Watson Henderson, Kristine Kay Larsen, Andrei Prunila",https://www.imdb.com/title/tt32574645/,"Taylor follows her crush to college but gets heartbroken when he hooks up with her roommate. An English lord helps her by letting her stay at his mansion, where she struggles to remain just friends with the charming playboy.",Romance,,,"June 8, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Her Secret Crusader,2024,6.6,-21,"Ben Bladon, Christian Brunetti, Scot Cooper",https://www.imdb.com/title/tt34060675/,"Lyndon was the City's hero. After freeing the City from danger, he hid his identity to protect his girlfriend, Tatiana, from harm. Now City Hall is once again in danger as the Sewer rat returns to take it down.",Romance,,,"October 3, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
"Lights, Camera, Action!",2024,8.7,-89,"Cosette Hatch, Sam Myerson, Diane Box Worman",https://www.imdb.com/title/tt33457024/,"Clyde enlists small time actress, Violet, to play the role of his long-lost sister in an attempt to fulfill his dying father's wish, but they inadvertently develop a forbidden romance.",Romance,,,"September 21, 2024 (United States)",United States,ReelShort,,,ReelShort
The Heiress Strikes Back,2024,7.8,-77,"Meg Bush, Preston Fox, Zachary Holmes",https://www.imdb.com/title/tt33014128/,"A gold digger, or a soul yearning for true love?",Romance,,,"July 20, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Freeze! My Wanted Lover,2024,7.3,-87,"Kasey Esser, Nick Ritacco, Christine Havens",https://www.imdb.com/title/tt32896677/,"Determined officer Sameen infiltrates a mafia to avenge her father's murder. Getting close to ruthless leader Vincent, their romance exposes dark secrets, forcing an escape and life on the run.",Romance,,,"July 12, 2024 (United States)",United States,Freeze! My Wanted Lover,Shot Short Official Website,,
You've Got Male,2024,8.5,-164,"Emily Gateley, Mario Alverson, Luke Charles Stafford",https://www.imdb.com/title/tt32904194/,"After Leila's husband cheats on their wedding day, she accidentally sleeps with escort Mark, who's really billionaire Matthew. As feelings develop, his double life creates complications.",Romance,,,"July 13, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
The Billionaire's Accidental Bride,2024,8.1,-10,"Lexi Collins, Sam Schweikert, Amber Overbay",https://www.imdb.com/title/tt33225504/,Add a plot in your language,Drama,,,"May 1, 2024 (United States)",United States,,,,Hostage Film
Trevor and the Virgin,2019,3,-239,"Jeff Jenkins, Chloe Ray, Dylan Rourke, Elizabeth Posey",https://www.imdb.com/title/tt10061646/,"Martha meets Trevor, as they both head to the dirtiest party of their lives which turns Martha into something else.",Short,Romance,,"March 15, 2019 (United States)",United States,Trevor & The Virgin Trailer,,,"Hooked, One Fox Two Fox"
The CEO's Contract Lover,2024,7.6,-41,"JC Ann, Sam Schweikert, Shay Dinneen",https://www.imdb.com/title/tt33249801/,Add a plot in your language,Drama,,,"August 22, 2024 (United States)",United States,Kalos TV,,,Flutter Brothers Productions
In Love with Dr. Baby Daddy!,2024,7.1,-111,"Mariah Moss, Marc Schöttner, Ellen B. Williams",https://www.imdb.com/title/tt32604355/,"Fueled by the sting of betrayal from her selfish ex, Jade Lancaster dives headfirst into her surgical residency, determined to prove him wrong. But what she didn't expect was to collide with her resident supervisor in a steaming hot ONS.",Romance,,,"June 12, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
30 Days Till I Marry My Husband's Nemesis,2024–,7.9,-226,"Christi Glass, Jeanne Solange Ramin, Mark Vega",https://www.imdb.com/title/tt30505447/,"Blair was killed by her husband, and his mistress, her cousin for her money. She wished to do it over again, then she is sent to 5 years in the past so she can get her revenge, by being with his rival. They work together and fall in love.",Drama,,,"January 6, 2024 (United States)",United States,Official streaming site,,,New Leaf Publishing I
Do Me Over,2023,7.8,-45,"Grady Eldridge, Rose Marie Guess, Eugenia Tempesta",https://www.imdb.com/title/tt23054184/,"Grief-stricken widow Sarah battles to save her company from corporate raider Ethan, learning she's pregnant with his child. Amidst pain and drama, she finds a path towards happiness.",Drama,Romance,,"January 10, 2023 (United States)",United States,,,,
My Husband Killed Me and Then I Won the Megaball,2023,7.5,-45,"Alexandra Shydlovska, Ryan Watson Henderson, Anuschka van Lent",https://www.imdb.com/title/tt31463405/,"Adoria Cummins gets murdered by her husband and is taken back in time. She uses the knowledge from her previous life to get revenge on all those who wronged her, starting with winning the Mega ball. Then comes Elijah Snyder, a lawyer who seems to have her best interest in mind, but there's just something about him... that seems too familiar.",Drama,Romance,,"May 1, 2023 (United States)",,,,,Salon de Paprika
Fatal Temptation: Between Two Alphas,2023,7.4,-68,"Daniela Couso, Freddy Piazza, Ethan Kirschbaum",https://www.imdb.com/title/tt28972104/,"Mia's life as the future Luna couldn't have been more idyllic, until a mysterious witch emerges, boldly declaring herself as the destined mate of the Alpha.",Action,Drama,Fantasy,"August 23, 2023 (United States)",United States,ReelShort,,,"New Leaf Publishing I, ReelShort"
I Married as the Replacement Bride,2024,7.5,-53,"Blake Studwell, Ren Muccino, Ethan Vaughan, John D. Babcock III",https://www.imdb.com/title/tt30956588/,"To protect your sister, you married the most feared mafia don in the world. He's a monster, known for killing all of his brides on their wedding nights.",Mystery,,,"January 17, 2024 (United States)",United States,,,,Crazy Maple Studio
The Three Badasses Who Want Me,2024,7.3,-44,"Jessica Jacoby, Ethan Vaughan, Mike Jeffrey",https://www.imdb.com/title/tt33054249/,"Dumped by her cheating, incompetent husband, Angela Lockhart, secretly a billionaire, finds herself in a shocking bachelorette-style setup where her parents present her with 3charming, accomplished fiance candidates vying for her heart.",Romance,,,"July 31, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Knight in Shining Suit,2024,7.8,-64,"Alice Bahlke, Tess Riley, Vico Ortiz",https://www.imdb.com/title/tt32648573/,"After her fiancé impregnates her step-sister, heartbroken Astrid rushes off to get drunk and forget her troubles. Instead she runs into Clyde, a bartender that looks exactly like her high-school sweetheart Ryder, who left her heartbroken.",Romance,,,"June 22, 2024 (United States)",United States,ReelShort,,,"New Leaf Publishing I, New Leaf Publishing, ReelShort"
"Married for Greencard, Stayed for Love",2024,8,-143,"Ashley Michelle Grant, John Palmer, Avery Lynch",https://www.imdb.com/title/tt31113336/,"Simon's brother urgently needs a bone marrow match. The perfect donor is none other than Leslie, who, in turn, needs a green card. Their lives become intertwined, leading to unexpected feelings and genuine connection.",Romance,,,"February 3, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
All the Wrong Reasons,2024,7.5,-56,"Autumn Noel, Josh Stone, Ashley Brinkman",https://www.imdb.com/title/tt32648584/,Add a plot in your language,Romance,,,"June 19, 2024 (United States)",United States,ReelShort,,,"New Leaf Publishing I, New Leaf Publishing, ReelShort"
"Goodbye, My CEO",2023,7.2,-132,"Maryana Dvorska, Kasey Esser, Nic Caruccio",https://www.imdb.com/title/tt29408825/,"James Knight, sexy, rich, and totally off limits. Dating him might destroy your career, but loving him will certainly break your heart. Because what's worse than knowing you want something, besides knowing you can never have it?",Action,Crime,Drama,"August 28, 2023 (United States)",United States,ReelShort,,,New Leaf Publishing I
"Ms. Swan, Teach Me Love",2024,8.3,-70,"Candace Mizga, Hannah Lowery, Sarah Moliski",https://www.imdb.com/title/tt31122319/,"Charlotte Swan's put the past behind her to focus on her new job at the prestigious St. James Academy. Everything changes when Timothy Wolfe, king of the school, decides that he wants her.",Romance,,,"February 10, 2024 (United States)",United States,ReelShort,,,"New Leaf Publishing I, ReelShort"
The Art Collector,2019,9,-6,"Nora Jobling, Jack Turner, Kristen Vaganos",https://www.imdb.com/title/tt11290700/,"Facemask, bathrobe, and...incoming video call?. Mia thought this job interview was audio only.",Short,Romance,,"September 15, 2019 (United States)",United States,,,,Boxes are for Squares
Snatched a Billionaire to Be My Husband,2024,7.8,-737,"Grace Woods Swanson, Jarred Harper, Courtney Lynn Green",https://www.imdb.com/title/tt30782199/,"Cora, once a billionaire heiress, is now bankrupt. As she struggles to support her ill mother, a cold-hearted billionaire falls for her, giving Cora a chance at reclaiming her life. They find true love, proving it transcends wealth.",Drama,Fantasy,Romance,"January 20, 2024 (United States)",United States,ReelShort,,,"Crazy Maple Studio, New Leaf Publishing I"
Runaway Princess Bride,2024,8,-148,"Brittany Pirozzoli, Luke Charles Stafford, Nickolas Natali",https://www.imdb.com/title/tt33504713/,A runaway bride is saved by a prince. But it is NOT fate nor fairy tale. He's hunted her down because she's the key to saving his troubled kingdom.,Drama,Romance,,"September 28, 2024 (United States)",United States,ReelShort,,,ReelShort
"Big Bad Husband, Please Wake Up!",2023,7,-155,"Samantha Drews, Roman Chsherbakov, Matt McGee",https://www.imdb.com/title/tt23054572/,"The youngest daughter of the Mitchell family, Ciara, is forced to marry the son of a powerful allied family, Adrian Lewis. The problem is that he is in a coma and Ciara is to be married under the name of her half-sister Flora.",Drama,,,"January 10, 2023 (United States)","United States, Mexico",,,,ReelShort
Escorting the Heiress,2024,8.1,-312,"Ashley Michelle Grant, Noah Fearnley, Sarah Moliski",https://www.imdb.com/title/tt31323517/,"The morning after her fiance' dumps her, Serena wakes up next to a hot escort who might solve her problem.",Drama,,,"February 15, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Curse of the Dragon King,2024,7.8,-55,"Mario Silva, Isabella De Souza Moore, Jolene Andersen",https://www.imdb.com/title/tt31416330/,"In a world where every Dragon King faces a fatal destiny, one servant holds the key to breaking the curse. But how can a mere mortal navigate the treacherous waters of forbidden love to defy destiny itself?",Romance,,,"February 24, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
Spoiled by the Billionaire,2024,7.8,-58,"Sijing Yang, Sia Kravchenko, Kasey Esser, Sarah Iranca",https://www.imdb.com/title/tt33090476/,Add a plot in your language,Romance,,,"August 9, 2024 (United States)",Canada,,,,Union Film Group
How My Boss Became My Hubby,2023–,7.4,-52,"Jey Reynolds, Kirsten Schaffer, Joanna Marie Hobbie",https://www.imdb.com/title/tt27122411/,Add a plot in your language,Drama,,,"May 15, 2023 (United States)",United States,Website,,,
The Billionaire's Masquerade,2024,7,-70,"Christine Oswald, Tyler Johnson Ellis, Hailey Swartwout",https://www.imdb.com/title/tt33269426/,"What happens at Mardi Gras stays at Mardi Gras, unless Sgt. Shelby Trudeau unknowingly marries a homeless man, not realizing he's actually billionaire Griffin Roy. Now they're caught in a whirlwind of love, secrets and hidden identities.",Romance,,,"August 3, 2024 (United States)",United States,The Billionaire's Masquerade Full Movie,,,ReelShort
"Baby, Just Say Yes!",2024,8.1,-95,"Brittney Rae, Alex Trumble, Thomas King",https://www.imdb.com/title/tt32730305/,"Betrayed by her fiance and her own sister, Victoria Branson marries Teddy Lloyd without knowing his real identity - a secret billionaire. Together, they have to stand up against Victoria's evil family, take back her mother's company and.",Romance,,,"April 27, 2024 (United States)",United States,ReelShort,,,ReelShort
Bound by Vendetta: Sleeping with the Enemy,2023,7.7,-216,"Marc Herrmann, Addison Bowman, Lobat Asadi",https://www.imdb.com/title/tt30318174/,"Daiana thought Enzo was the love of her life until he murdered her entire family. Captured by the enemy, Daiana would face the consequences of hatred, find the impossible strength for forgiveness, and experience the cruel side of love.",Drama,,,"November 11, 2023 (United States)",United States,ReelShort,ReelShort,,New Leaf Publishing I
We Will Love Again,2024,7.3,-236,"Seth Edeen, Alena Savostikova, Christine",https://www.imdb.com/title/tt31122590/,"Engaged couple Alaina and Noah split when she claims his lack of success is the reason. Five years later, he returns wealthy, aiming to show her what she missed, but unraveling the true story behind their love.",Romance,,,"February 17, 2024 (United States)",United States,ReelShort,,,"New Leaf Publishing I, ReelShort"
The One That Got Away,2024,6.7,-114,"Catherine Tregenna, Marc Herrmann, Sarah Brooks, Danny Farber",https://www.imdb.com/title/tt31974731/,A woman devoid of love encounters her first love. Will she stay faithful or yield to desire?,Crime,Drama,,"March 23, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
The Reborn Wife's Redemption,2023,7.4,-49,"Alexandria Watts, Ethan Kirschbaum, Annie Sullivan",https://www.imdb.com/title/tt29605629/,"After the painful revelation that she had directed her lifelong hatred towards the wrong man, Elena took her last breath in the loving embrace of her husband, Marcus. In a remarkable twist of fate, Elena found herself transported back in time. In this new chapter of her life, she was determined not to harbor any resentment toward her husband. Instead, she vowed to bec... Read all",Action,Drama,Romance,"July 18, 2023 (United States)",United States,ReelShort,ReelShort,,New Leaf Publishing I
"Love Me, Bite Me",2024,8.2,-70,"Jackie Green, Andrew Keives, Samantha Drews",https://www.imdb.com/title/tt30797519/,"A centuries-old vampire alliance is threatened when Alarik Tepes develops feelings for a human waitress, Sammantha Evans, causing tension and leading to an eventful New Year's Eve.",Drama,,,"January 10, 2024 (United States)",United States,ReelShort,,,New Leaf Publishing I
My Gorgeous Wife Is an Ex-Convict,2023,7.4,-56,"Nova Gaver, Ryan Watson Henderson, Sophie Jordan Collins",https://www.imdb.com/title/tt29605655/,"Unjustly convicted of murdering her fiance's sister, Brielle serves 3 years. Post-release, she meets enigmatic Jay, who aids her quest to prove innocence, though his intentions seem questionable.",Action,,,"July 20, 2023 (United States)",United States,ReelShort,ReelShort,,New Leaf Publishing I
Cross My Heart and Hope to Die,2023,6.8,-44,"Sam Manacsa, Jorrybell Agoto, Rexon Anyayahan, Aje Candelaria",https://www.imdb.com/title/tt28768830/,Mila struggles as she remains unpaid at work and a love interest becomes a source of comfort through his constant phone calls. But a promise of hope may also lead to tragedy and sad love songs.,Short,Comedy,Drama,"July 12, 2024 (United States)",Philippines,Cinemalaya,,,
One Night Stand,2023,7.5,-44,"Pimprapa Thangprapaporn, Esther Supreeleela, Sutatta Udomsilp",https://www.imdb.com/title/tt28259092/,No-string-attached sexual relationships. Who would know that one night could change your lives forever? Who's a friend? Who's a murderer? Who will speak the truth? Who's lying? Only God knows.,Drama,Thriller,,"August 18, 2023 (Thailand)",Thailand,,,,Change 2561
Love the Way You Lie,2024,7.4,-367,"Grace Woods Swanson, Myles Clohessy, Maxwell David Marcus",https://www.imdb.com/title/tt33337564/,"Molly's sister didn't just swipe her boyfriend Connor-she also snatched her inheritance, leaving Molly high and dry. Fueled by alcohol and vengeance, Molly hatches a wild plan: seduce Connor's attractive uncle, Adrian.",Romance,,,"September 2, 2024 (United States)",United States,DramaBox,,,"Loomlight Production House, Drama Box"
The Mafia's Obsession,2024,7.9,-346,"Elliott Eason, Lucas Wilson, Terry Bird",https://www.imdb.com/title/tt34662008/,"Augusto Castro tries to prevent his sister Alice's marriage, arranged 15 years ago due to a pact. He agrees to marry notorious mob boss. unaware it's a trap set by Pietro.",Drama,Romance,,"October 30, 2024 (United States)",United Kingdom,DramaBox,,,Onset Octopus
Waking Up Married to My Crush,2024,7.5,-180,"Bogdan Ruban, Ruslan Miroshnychenko, Anastasia Ivaniuk",https://www.imdb.com/title/tt34527841/,"Jasmine awakens married to her college crush Patrick but amnesiac, forgetting her past few years. Determined to reclaim her identity beyond a subservient wife, her transformation helps Patrick fall for the real her again.",Drama,Romance,,"November 5, 2024 (United States)",United States,DramaBox,,,AMO Pictures
Falling in Love with the Rascal in a Suit,2024,7.6,-182,"Rebecca Stoughton, Mark Vega, Matthew Layton",https://www.imdb.com/title/tt33507788/,"Betty has to work two jobs for her mom. She is both a stripper and a hotel cleaner. One night, Marcus, the infamous mob boss, enters Betty's club, hoping to regain his ""man power"". Every woman is a disappointment, except for Betty.",Crime,Romance,,"September 6, 2024 (United States)",United States,DramaBox,,,"Drama Box, Narval Films, YRBW Productions"
The Best Mistake Ever,2024,8.2,-83,"Jarred Harper, Dominique Rose, Jared Harper",https://www.imdb.com/title/tt34126174/,"NIA has a one night stand with fashion empire owner, JAMES, and he mistakes Nia's BFF, SELINE, for the girl he spent the night with. As Seline and Nia both serve as his assistants, the web of friendship and love gets beyond entangled.",Romance,,,"November 5, 2024 (United States)",United States,DramaBox,,,"Storypod Studio, Drama Box"
From Contract Lover to the Billionaire's Bride,2024,6.9,-611,"Evey Yu, Jackson Tiller, Kyra Wisely, A. BeLoat",https://www.imdb.com/title/tt33306109/,Chloe's fiance Mason dumps her to marry wealthy Sophia. He frames Chloe's father for his crimes. Lawyer Ethan initially dislikes Chloe but they team up when he agrees to defend her father to protect his sister.,Romance,,,"August 29, 2024 (United States)",United States,,,,Production House 8
After Divorce: I Become Heiress,2024,7.4,-44,"Elijah Van Zanten, Jesse Gallagher, Jeff Lawless",https://www.imdb.com/title/tt33995759/,"Sally is a real wealthy heiress, her husband cheated on her and divorced. As a counterattack, Sally married Aiden in a flash. The new couple joined hands and tackled with all the snobbish scumbags who tried to humiliate and suppress them.",Drama,,,"August 8, 2024 (United States)",United States,Looking for something to watch during your daily commute. Look no further than our Dramabox!,,,"Fame Media, Fame Video Production Studio"
Fated to My Cruel CEO,2024–,7.7,-98,"Kasey Esser, Autumn Noel, Mark Pontarelli",https://www.imdb.com/title/tt32546838/,"Helen and Algar escaped an orphanage and embarked on separate journeys, with only their hearts connected by a promise that refuses to break. A fated reunion filled with love, secrets and echoes of their past.",Drama,,,"June 3, 2024 (United States)",United States,link to title on streaming platform,,,
My Heartless Alpha,2024–,8.4,-84,"Lil Safonova, Rebecca Stoughton, Ethan Kirschbaum",https://www.imdb.com/title/tt32634246/,"Rejected by her mate and cast out of her werewolf pack, Avery meets Ryan, the feared Alpha of the largest wolf pack in America. Despite the rumor of him being heartless, she finds herself falling for him, with an uncertain fate ahead.",Romance,,,"June 14, 2024 (United States)",United States,link to title on streaming platform,,,
How I See Through You,2024,6.8,-22,"Felix Merback, Faith West, Chanda Davetas",https://www.imdb.com/title/tt32187534/,"Mia, a livestreaming influencer, arrives at a supposedly haunted hotel in search of more clicks, where she meets Roland and reveals the fate of their past life.",Fantasy,,,April 2024 (United States),United States,,,,Zose Media
